GDP,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Belarus,9430.712719,10271.59384,11533.73999,11569.6266,12490.18818,13248.85243,13515.16103,13869.73009,14308.17339,14802.62809,15334.80126
Belgium,32726.99396,33437.81037,33506.60176,32315.18101,32832.33518,32929.85037,32585.01197,32399.18276,32554.91904,32723.11142,32905.93753
Belize,7454.891533,7197.104697,7297.022626,7185.229213,7271.493791,7289.301094,7550.138241,7606.276801,7662.832927,7719.809582,7777.208739
Benin,1398.560746,1419.818741,1447.636926,1443.648418,1438.986214,1448.858849,1464.138255,1484.596467,1505.652321,1530.829464,1560.351425
Bermuda,73619.46902,75573.53805,76096.27278,72276.01465,70737.27955,70979.1344,,,,,
Bhutan,3856.992751,4456.574732,4579.657104,4803.534565,5273.68657,5627.009609,6130.862355,6505.009868,7052.665549,7663.784786,8754.873268
Bolivia,3712.769469,3803.127125,3956.396687,4009.384306,4095.214842,4224.949929,4363.432645,4487.612018,4624.13451,4764.809374,4909.76502
Bosnia and Herzegovina,6892.994309,7320.470682,7739.976524,7527.682274,7596.007881,7705.634524,7664.152812,7714.64617,7882.544177,8174.859181,8521.387718
Botswana,12574.18262,13010.69777,13240.06106,12463.48417,13181.34202,13689.42724,14045.94033,14455.67629,14884.85701,15347.41437,15828.45555
Brazil,8842.429401,9290.118627,9681.548355,9564.568719,10195.44815,10383.07397,10383.54059,10615.49571,10960.66528,11326.45392,11723.21675
British Virgin Islands,45037.871,44836.20942,45013.27433,46468.5066,48039.838,48741.1524,,,,,
Brunei,48736.53279,48085.88648,46525.23247,45090.65662,45460.87113,45764.66817,45658.25326,45516.31922,47532.07207,50244.63765,54479.22541
Bulgaria,10013.12844,10713.27747,11426.87991,10862.27452,10990.43751,11464.12441,11669.72231,11929.04817,12264.74073,12694.00723,13138.29692
Burkina Faso,1176.153788,1188.685185,1220.953369,1220.228106,1277.686645,1291.73544,1363.779813,1426.88707,1491.785637,1559.904209,1629.655586
Burundi,434.0199707,445.8739567,457.4044976,462.1769826,468.4321824,476.6280324,484.0909246,493.8874881,506.9099126,522.1808992,537.8640391
Cambodia,1571.438806,1712.490253,1797.200378,1769.213254,1858.477823,1970.344832,2076.689586,2193.399887,2328.905668,2475.80771,2632.629973
