GDP,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Tokelau,,,,,,,,,,,
Tonga,4883.289499,4747.170837,4752.19907,4777.186442,4834.890088,4885.708667,4932.978063,4985.567221,5053.359427,5122.885437,5193.823632
Transnistria,,,,,,,,,,,
Trinidad and Tobago,17333.50485,18084.50696,18620.50478,17782.31253,17716.97671,17185.79155,17182.09546,17458.81133,17822.62504,18194.24106,18572.82893
Tunisia,6759.661193,7114.503003,7361.403375,7509.853417,7664.840299,7427.129265,7620.470565,7823.58308,8070.772842,8365.623974,8654.72287
Turkey,8223.302258,8506.694555,8456.753897,7941.956903,8556.033519,9164.683086,9287.293125,9488.459715,9727.592059,10032.62177,10356.85262
Turkmenistan,4638.555896,5070.322954,5726.436282,5981.927687,6427.023204,7252.657762,7921.274062,8397.518297,8921.115178,9436.942202,10029.86929
Turks and Caicos Islands,34468.45138,35747.7165,37368.21132,32053.66187,33477.184,34782.30546,,,,,
Tuvalu,,,,,,,,,,,
Uganda,1050.41774,1103.749428,1150.60181,1192.859019,1219.457289,1260.032952,1251.09807,1269.74029,1305.652828,1352.41871,1400.85965
Ukraine,6041.200507,6539.991867,6730.010741,5762.524575,6022.477704,6359.65458,6389.585973,6421.694878,6634.675417,6901.395941,7178.839287
United Arab Emirates,35388.8569,35530.77986,35246.69377,31561.16692,31040.25452,31700.39355,31980.24144,32022.61447,32209.08858,32393.58454,32655.10214
United Kingdom,32214.65115,33165.20164,32623.51605,31127.30791,31448.18228,31496.62228,31295.14315,31256.09616,31483.79367,31812.76447,32183.23135
United States,42378.84536,42764.22125,42226.58003,40576.8876,41230.56986,41678.41097,42296.23165,42717.28435,43584.569,44733.99026,45861.24817
Uruguay,9620.330269,10220.53586,10920.64175,11148.27609,12097.77465,12741.79202,13179.23108,13632.20592,14128.04679,14645.82306,15178.50804
USSR,,,,,,,,,,,
Uzbekistan,2095.275801,2259.870267,2428.749951,2583.564797,2753.989417,2921.074219,3117.273866,3295.931852,3468.544895,3633.060917,3805.379959
Wallis et Futuna,3777.965324,,,,,,,,,,
Vanuatu,3686.895995,3790.984001,3945.412164,3984.703733,3959.324882,3926.112954,3940.923984,4017.221949,4096.320601,4164.962392,4234.754397
Venezuela,10707.2495,11453.17562,11862.322,11299.31922,10956.60355,11241.08415,11685.17719,11511.1465,11587.88077,11669.85395,11770.51182
West Bank and Gaza,3281.945583,3373.949077,3521.304663,3681.700846,3934.957429,4206.000088,4328.391158,,,,
West Germany,,,,,,,,,,,
Western Sahara,,,,,,,,,,,
Vietnam,2289.340579,2453.801665,2577.73251,2682.750193,2830.7757,2961.834605,3073.649612,3196.294155,3323.699213,3459.92345,3603.517111
Virgin Islands (U.S.),,,,,,,,,,,
Yemen Arab Republic (Former),,,,,,,,,,,
Yemen Democratic (Former),,,,,,,,,,,
"Yemen, Rep.",2277.838915,2283.391979,2295.80617,2313.157376,2418.761076,2102.216461,2043.787776,2071.313697,2120.346997,2194.409034,2268.859525
Yugoslavia,,,,,,,,,,,
Zambia,1218.964755,1263.450627,1302.85927,1352.522232,1420.231814,1480.686307,1550.923859,1632.179671,1720.968317,1809.347399,1905.254012
Zimbabwe,520.1685813,499.6835529,408.1344733,441.1427894,479.8247801,526.3326861,545.344601,566.1787646,591.9637198,617.9774816,645.1070175
_land,,,,,,,,,,,
